id,ra,dec,mag_norm,redshift,twinkles_id,image_num,lens_gal_id
86846495659036,53.2806799,-27.4737835,19.7252128,1.12,229,1,8684649498
87042027900956,53.0994583,-27.6185682,21.8561956,1.27,93,0,8704202778
87042027901980,53.0996486,-27.6181742,21.3695608,1.27,93,1,8704202778
93994936901660,53.0623962,-27.666396,21.9749049,2.08,142,0,9399493658
93994936902684,53.0624197,-27.6657533,22.1821581,2.08,142,1,9399493658
98547385360412,53.1896832,-27.6305711,23.3300876,2.3,254,0,9854738458
98547385361436,53.1897586,-27.6301194,23.6485127,2.3,254,1,9854738458
100207012376604,52.7856041,-27.5256948,22.7594625,1.75,131,0,10020701210
100207012377628,52.7853012,-27.5253633,23.2464762,1.75,131,1,10020701210
100653661409308,53.1656185,-27.3479515,22.8608628,1.33,305,0,10065366042
100653661410332,53.1653897,-27.3477455,21.505179,1.33,305,1,10065366042
103533753765916,52.7476411,-27.597882,23.3827175,1.14,353,0,10353375258
103533753766940,52.7473915,-27.5977661,21.3458825,1.14,353,1,10353375258
103576012800028,52.9826789,-27.4376784,22.4785975,1.19,0,0,10357601306
103576012801052,52.9831244,-27.4378515,23.8894374,1.19,0,1,10357601306
105381511102492,53.2362989,-27.2906306,18.7887918,1.33,484,0,10538150938
105381511103516,53.2363572,-27.2907608,21.0001499,1.33,484,1,10538150938
113571882065948,53.2953609,-27.5927551,23.9687414,2.26,270,0,11357188122
113571882066972,53.2950076,-27.5918294,23.1253442,2.26,270,1,11357188122
117943224807452,52.9928532,-27.1648455,23.3072902,1.56,119,0,11794322458
117943224808476,52.9934391,-27.1644725,23.4360984,1.56,119,1,11794322458
118077942751260,53.3431386,-27.4022013,23.6088042,1.56,242,0,11807794202
118077942752284,53.3429091,-27.4019024,23.4760269,1.56,242,1,11807794202
118166131359772,52.8012838,-27.6225081,23.6682418,5.41,664,0,11816612890
118166131360796,52.8012429,-27.6220325,23.6010727,5.41,664,1,11816612890
119585036349468,53.216702,-27.5589454,23.5599279,1.44,515,0,11958503450
119585036350492,53.2166146,-27.5587592,24.0977907,1.44,515,1,11958503450
120004701134876,53.0796902,-27.183509,22.9841068,1.37,238,0,12000470042
